Ndima Ndapedza,Anarexol,Land of Oz,Prepotencia Mundial,Ugly Primadonna,Friends,How Can I Keep From Singing?,I'm You,Masterplan,Picky Bugger,Calling Dr. Love,You Done Lost Your Good Thing Now,Halloween II,Mentally Murdered,Douloureux dedans,Remnants,Where Is My Love?,Almost Seems (Too Late To Turn),Spiderbaby (Yeah-Yeah-Yeah),Tapha Niang
Soñe Otro Mundo,Walkin' Blues,Helen,Decadencia,Lemon Tree,Purple Rose Minuet,Christmas Secrets,Zirzop,Dirty Business,A Ribbon,Stay Tonight,Baby I Want You,Love Song,Cold Stare,Me and Bobby McGee,Idoless,Nocnym pociągiem aż do końca świata,Refuge of the Roads,The Slayer,Prayer in Passing
The Earth Dies Screaming,Going Back to Miami,Earthsong,Musical Terrorism Act,The Shining Path,One Toy Soldier,Flume,Not Too Bad,Let Your Hair Down,Arawan,Eureka,Bird Calls,Dune,Battery,The Long Way Home,Waracle,Verne,March Of The Celts,Jeff Wears Birkenstocks,1-800-Skauen
Homely Girl,Man In The Hills,Aphrodite,The Deadly Rhythm,New York City Boy,There Is So Much More,Lover Undercover,Clandestino,It's in My Blood,The Last Laugh Of The Laughter,Grease Paint And Monkey Brains,Forgotten Love,The One You Love,Twenty Four Hours,Daddy,Grease Paint And Monkey Brains,Tonto,The Tryst,Sex in Your Mouth,Callas Went Away
Chitlins Con Carne,Aldrig ensam,Song of India,Rockupation,Los Condenaditos,You Don't Know How Lucky You Are,Leaving Blues,Quiero Ser Poeta,Undo It,Suomi Finland,Aqua Dementia,Tit Smoking in the Temple of Artesan Mimicry,Hey Bartender,Explosion,Fame,The Gathering,Skyliner,Girl From Barcelona,Claiming Middle Age A Decade Early,Mien
La Vénus du mélo,One Draw,Odyssey of the Mind,9 to 5,Pida Me La,The Last Laugh Of The Laughter,Been Smoking Too Long,Charlene,The Ring Song,Erè Mèla Mèla,Waracle,Pretty Paper,Mistake,Moon Over Marin,Draun Quarter,Hospitality,Best I Am,In Our Tears,Velvet Touch,On s'attache
